episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,mean_obstacle_risk,max_obstacle_risk,min_obstacle_margin,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,joint_hazard_obstacle_steps,shield_interventions,shield_intervention_rate,elapsed_ms,trajectory_png
11,1,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,4,37,44,0.0,0.11516202986240387,0,0,max_steps,200,65.63961030678922,53.150729063673246,13.0,0.0,0.10336914125700199,0.8823301792144775,0.06766982078552242,0.016115466508408925,0.47520506381988525,0,0,0,0.0,157.59008299937705,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_011_raw_ppo_baseline_open_stereo_trajectory.png
12,1,raw_ppo,baseline_open,Baseline Open,mono,0020,2,4,37,44,0.0,0.0,0,1,collision_risk,37,52.32590180780449,53.150729063673246,3.605551275463989,0.0,0.03654970307099192,0.9999998807907104,-0.049999880790710494,0.008377861256138862,0.1492127925157547,0,0,0,0.0,29.06629199787858,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_012_raw_ppo_baseline_open_mono_trajectory.png
13,1,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,12,47,1,0.49035486578941345,0.0,0,1,collision_risk,1,1.4142135623730951,39.56008088970496,38.897300677553446,0.0,0.7451774328947067,1.0,-0.050000000000000044,0.02997441589832306,0.04030964896082878,0,0,0,0.0,0.660292000247864,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_013_raw_ppo_dense_corridor_stereo_trajectory.png
14,1,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,12,47,1,0.21547067165374756,0.0,0,0,max_steps,200,55.32590180780449,39.56008088970496,48.041648597857254,0.0,0.001071993391312177,0.21547067165374756,0.7345293283462524,0.02870109280797817,0.8500000238418579,3,0,0,0.0,147.7079579999554,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_014_raw_ppo_dense_corridor_mono_trajectory.png
15,1,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,12,47,1,0.49035486578941345,0.0,0,1,collision_risk,1,1.4142135623730951,39.56008088970496,38.897300677553446,0.0,0.7451774328947067,1.0,-0.050000000000000044,7.72082457842771e-05,0.00012024024908896536,0,0,0,0.0,0.6822089999332093,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_015_raw_ppo_obstacle_cluster_stereo_trajectory.png
16,1,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,12,47,1,0.21547067165374756,0.0,0,0,max_steps,200,55.32590180780449,39.56008088970496,48.041648597857254,0.0,0.001071993391312177,0.21547067165374756,0.7345293283462524,0.0668181220215842,0.6211084127426147,0,0,0,0.0,128.8309159972414,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_016_raw_ppo_obstacle_cluster_mono_trajectory.png
17,1,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,4,45,35,0.0,0.0,0,0,max_steps,200,65.63961030678922,53.009433122794285,14.560219778561036,0.0,0.03463968581784127,0.6469906568527222,0.3030093431472778,0.04101123294772392,0.7565454244613647,2,0,0,0.0,133.91033399966545,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_017_raw_ppo_lateral_maneuver_stereo_trajectory.png
18,1,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,4,45,35,0.0,0.036651235073804855,0,1,collision_risk,37,52.32590180780449,53.009433122794285,8.48528137423857,0.0,0.04598155617713928,0.9999998807907104,-0.049999880790710494,0.07698685495945468,0.774375855922699,1,0,0,0.0,26.95829100048286,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_018_raw_ppo_lateral_maneuver_mono_trajectory.png
19,1,raw_ppo,stress_density,Stress Density,stereo,0040,2,4,29,7,0.0,0.0,0,1,collision_risk,6,8.485281374238571,27.16615541441225,21.213203435596427,0.0,0.14285714285714285,1.0,-0.050000000000000044,5.126597562577559e-08,2.901076641137479e-07,0,0,0,0.0,4.019500000140397,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_019_raw_ppo_stress_density_stereo_trajectory.png
20,1,raw_ppo,stress_density,Stress Density,mono,0040,2,4,29,7,0.0,0.07040894776582718,0,1,collision_risk,28,39.59797974644666,27.16615541441225,25.019992006393608,0.0,0.06663073959021733,0.9999998807907104,-0.049999880790710494,0.059081926293675494,0.423845499753952,0,0,0,0.0,17.87749999857624,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_020_raw_ppo_stress_density_mono_trajectory.png
21,2,raw_ppo,baseline_open,Baseline Open,stereo,0020,4,2,36,46,0.0,0.0,0,0,max_steps,200,65.63961030678922,54.405882034941776,13.341664064126334,0.0,0.11044890247980382,0.7482637763023376,0.2017362236976623,0.20942589975732254,0.8231301307678223,4,0,0,0.0,131.4970000021276,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_021_raw_ppo_baseline_open_stereo_trajectory.png
22,2,raw_ppo,baseline_open,Baseline Open,mono,0020,4,2,36,46,0.0,0.0,0,1,collision_risk,36,50.9116882454314,54.405882034941776,8.94427190999916,0.0,0.03072864542136321,1.0,-0.050000000000000044,0.1340527773283674,0.723880410194397,2,0,0,0.0,22.068250000302214,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_022_raw_ppo_baseline_open_mono_trajectory.png
23,2,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,11,9,45,2,0.0,0.0,0,1,collision_risk,4,5.656854249492381,34.713109915419565,31.953090617340916,0.0,0.728549325466156,1.0,-0.050000000000000044,0.37608550786972045,0.547802746295929,0,0,0,0.0,2.9268329999467824,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_023_raw_ppo_dense_corridor_stereo_trajectory.png
24,2,raw_ppo,dense_corridor,Dense Corridor,mono,0050,11,9,45,2,0.0,0.0,0,0,max_steps,200,55.740115370177584,34.713109915419565,47.16990566028302,0.0,0.0,0.0,0.95,0.030989560050701002,0.7228204607963562,2,0,0,0.0,130.2665410003101,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_024_raw_ppo_dense_corridor_mono_trajectory.png
25,2,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,11,9,45,2,0.0,0.0,0,1,collision_risk,4,5.656854249492381,34.713109915419565,31.953090617340916,0.0,0.728549325466156,1.0,-0.050000000000000044,0.10998538304120302,0.2779422998428345,0,0,0,0.0,2.5179579970426857,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_025_raw_ppo_obstacle_cluster_stereo_trajectory.png
26,2,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,11,9,45,2,0.0,0.0,0,0,max_steps,200,55.740115370177584,34.713109915419565,47.16990566028302,0.0,0.0,0.0,0.95,0.0180543266581105,0.3245525062084198,0,0,0,0.0,171.86612500154297,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_026_raw_ppo_obstacle_cluster_mono_trajectory.png
27,2,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,4,2,44,37,0.0,0.0,0,0,max_steps,200,65.63961030678922,53.150729063673246,13.0,0.0,0.03952267789861085,0.7974535822868347,0.15254641771316524,0.03791999276899473,0.7126767039299011,1,0,0,0.0,183.57108300187974,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_027_raw_ppo_lateral_maneuver_stereo_trajectory.png
28,2,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,4,2,44,37,0.0,0.0,0,1,collision_risk,38,53.740115370177584,53.150729063673246,3.605551275463989,0.0,0.030710864525574904,0.9999999403953552,-0.04999994039535527,0.00014224787757930485,0.0006679484504275024,0,0,0,0.0,27.91041699674679,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_028_raw_ppo_lateral_maneuver_mono_trajectory.png
29,2,raw_ppo,stress_density,Stress Density,stereo,0040,4,2,27,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,24.041630560342615,15.033296378372908,0.0,0.1111111044883728,0.9999999403953552,-0.04999994039535527,0.1505839766210152,0.4797230362892151,0,0,0,0.0,5.457167000713525,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_029_raw_ppo_stress_density_stereo_trajectory.png
30,2,raw_ppo,stress_density,Stress Density,mono,0040,4,2,27,9,0.0,0.0,0,1,collision_risk,26,36.76955262170048,24.041630560342615,19.235384061671343,0.0,0.04768232504526774,1.0,-0.050000000000000044,0.06672919393251407,0.580642580986023,0,0,0,0.0,18.209540998213924,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_030_raw_ppo_stress_density_mono_trajectory.png
31,3,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,1,38,46,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.62811813689564,11.40175425099138,0.0,0.1144134562522803,0.9193671345710754,0.030632865428924516,0.07056410474481468,0.7896930575370789,3,0,0,0.0,126.20975000027101,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_031_raw_ppo_baseline_open_stereo_trajectory.png
32,3,raw_ppo,baseline_open,Baseline Open,mono,0020,2,1,38,46,0.0,0.1527777761220932,0,1,collision_risk,38,53.740115370177584,57.62811813689564,7.280109889280518,0.0,0.045974791049957275,0.9999998807907104,-0.049999880790710494,0.07222068081852664,0.4383018910884857,0,0,0,0.0,25.293124999734573,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_032_raw_ppo_baseline_open_mono_trajectory.png
33,3,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,10,7,47,4,0.0,0.0,0,1,collision_risk,3,4.242640687119286,37.12142238654117,34.52535300326414,0.0,0.25,1.0,-0.050000000000000044,0.24829076044261456,0.44091132283210754,0,0,0,0.0,2.5233330015907995,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_033_raw_ppo_dense_corridor_stereo_trajectory.png
34,3,raw_ppo,dense_corridor,Dense Corridor,mono,0050,10,7,47,4,0.27681323885917664,0.0,0,0,max_steps,200,58.154328932550676,37.12142238654117,45.044422518220834,0.0,0.0013771802928317246,0.27681323885917664,0.6731867611408233,0.00870038099443654,0.28662776947021484,0,0,0,0.0,127.59016700147185,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_034_raw_ppo_dense_corridor_mono_trajectory.png
35,3,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,10,7,47,4,0.0,0.0,0,1,collision_risk,3,4.242640687119286,37.12142238654117,34.52535300326414,0.0,0.25,1.0,-0.050000000000000044,0.026439428329467773,0.032531704753637314,0,0,0,0.0,1.8256669973197859,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_035_raw_ppo_obstacle_cluster_stereo_trajectory.png
36,3,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,10,7,47,4,0.27681323885917664,0.0,0,0,max_steps,200,58.154328932550676,37.12142238654117,45.044422518220834,0.0,0.0013771802928317246,0.27681323885917664,0.6731867611408233,0.028861422800192087,0.6499999761581421,0,0,0,0.0,128.53287500183797,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_036_raw_ppo_obstacle_cluster_mono_trajectory.png
37,3,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,1,45,38,0.0,0.3078703284263611,0,0,max_steps,200,67.46803743153542,56.72741841473134,11.704699910719626,0.0,0.03884992200825641,0.6153548359870911,0.3346451640129089,0.03337827953941557,0.7641890645027161,4,0,0,0.0,120.52508299893816,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_037_raw_ppo_lateral_maneuver_stereo_trajectory.png
38,3,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,1,45,38,0.0,0.15740740299224854,0,1,collision_risk,39,55.154328932550676,56.72741841473134,4.47213595499958,0.0,0.02567515280097723,0.9999999403953552,-0.04999994039535527,0.039418483058634025,0.18360227346420288,0,0,0,0.0,22.664084001007723,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_038_raw_ppo_lateral_maneuver_mono_trajectory.png
39,3,raw_ppo,stress_density,Stress Density,stereo,0040,2,1,29,9,0.0,0.0,0,1,collision_risk,10,14.142135623730955,28.160255680657446,17.11724276862369,0.0,0.17324282906272195,0.9972992539405823,-0.04729925394058232,0.0005817695046293733,0.0039823297411203384,0,0,0,0.0,5.661749997670995,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_039_raw_ppo_stress_density_stereo_trajectory.png
40,3,raw_ppo,stress_density,Stress Density,mono,0040,2,1,29,9,0.0,0.0,0,1,collision_risk,28,39.59797974644666,28.160255680657446,20.024984394500787,0.0,0.049382711278981174,0.9999998807907104,-0.049999880790710494,0.050539319930215966,0.3310939073562622,0,0,0,0.0,16.919707999477396,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_040_raw_ppo_stress_density_mono_trajectory.png
41,4,raw_ppo,baseline_open,Baseline Open,stereo,0020,1,2,39,45,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.38466694161429,10.770329614269007,0.0,0.10003799617068092,0.8724921345710754,0.07750786542892452,0.06571648937663811,0.3117079734802246,0,0,0,0.0,124.81383299746085,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_041_raw_ppo_baseline_open_stereo_trajectory.png
42,4,raw_ppo,baseline_open,Baseline Open,mono,0020,1,2,39,45,0.0,0.4484953284263611,0,1,collision_risk,38,53.740115370177584,57.38466694161429,5.0,0.0,0.03343621278420473,1.0,-0.050000000000000044,0.09455417833740855,0.4610689580440521,0,0,0,0.0,23.18645900231786,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_042_raw_ppo_baseline_open_mono_trajectory.png
43,4,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,9,48,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,39.6232255123179,37.36308338453881,0.0,0.6939621418714523,0.9999998807907104,-0.049999880790710494,0.00010402971497569524,0.0002836952335201204,0,0,0,0.0,1.7367919972457457,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_043_raw_ppo_dense_corridor_stereo_trajectory.png
44,4,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,9,48,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,39.6232255123179,47.01063709417264,0.0,0.0008291871986578946,0.16666662693023682,0.7833333730697631,0.006901307676249466,0.18917879462242126,0,0,0,0.0,129.13837499945657,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_044_raw_ppo_dense_corridor_mono_trajectory.png
45,4,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,48,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,39.6232255123179,37.36308338453881,0.0,0.6939621418714523,0.9999998807907104,-0.049999880790710494,0.12729209195822477,0.29396936297416687,0,0,0,0.0,1.8540419987402856,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_045_raw_ppo_obstacle_cluster_stereo_trajectory.png
46,4,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,48,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,39.6232255123179,47.01063709417264,0.0,0.0008291871986578946,0.16666662693023682,0.7833333730697631,0.0027004136094992692,0.05561278387904167,0,0,0,0.0,126.19750000158092,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_046_raw_ppo_obstacle_cluster_mono_trajectory.png
47,4,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,1,2,46,37,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.0087712549569,12.36931687685298,0.0,0.032525449585799705,0.7515430450439453,0.19845695495605464,0.02370304545815074,0.6547917127609253,0,0,0,0.0,128.1209580010909,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_047_raw_ppo_lateral_maneuver_stereo_trajectory.png
48,4,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,1,2,46,37,0.0,0.11824844777584076,0,1,collision_risk,39,55.154328932550676,57.0087712549569,7.211102550927978,0.0,0.04611785709857941,0.9999998807907104,-0.049999880790710494,0.13099203878782645,0.6547917127609253,0,0,0,0.0,23.57549999942421,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_048_raw_ppo_lateral_maneuver_mono_trajectory.png
49,4,raw_ppo,stress_density,Stress Density,stereo,0040,1,2,29,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,28.861739379323623,20.024984394500787,0.0,0.11057527197731866,0.9951774477958679,-0.045177447795867964,5.448496799292318e-05,0.00017676233255770057,0,0,0,0.0,5.187624999962281,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_049_raw_ppo_stress_density_stereo_trajectory.png
50,4,raw_ppo,stress_density,Stress Density,mono,0040,1,2,29,9,0.0,0.0,0,1,collision_risk,29,41.012193308819754,28.861739379323623,22.02271554554524,0.0,0.05677082935969035,0.9999998807907104,-0.049999880790710494,0.06405678903773525,0.2496269941329956,0,0,0,0.0,19.756375000724802,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_050_raw_ppo_stress_density_mono_trajectory.png
51,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,2,2,38,46,0.0,0.0,1,0,goal_reached,54,73.8822509939085,56.85068161420758,0.0,0.7694768479495143,0.07742353816601363,0.43769291043281555,0.5123070895671844,0.1719046804803921,0.46591320633888245,0,0,15,0.2777777777777778,81.8263749970356,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_051_ppo_shield_baseline_open_stereo_trajectory.png
52,0,ppo_shield,baseline_open,Baseline Open,mono,0020,2,2,38,46,0.0,0.1527777761220932,1,0,goal_reached,44,60.56854249492377,56.85068161420758,0.0,0.9386172965772162,0.007253085863259103,0.16512343287467957,0.7848765671253204,0.02294926506464334,0.10395790636539459,0,0,6,0.13636363636363635,66.42329199894448,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_052_ppo_shield_baseline_open_mono_trajectory.png
53,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,9,47,2,0.0,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.0,0.0,0.95,0.09216927434506487,0.4699438810348511,0,0,23,0.5897435897435898,58.353832999273436,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_053_ppo_shield_dense_corridor_stereo_trajectory.png
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,9,9,47,2,0.16666662693023682,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.004166665673255921,0.16666662693023682,0.7833333730697631,1.0285799049001645e-05,0.00011011875903932378,0,0,23,0.5897435897435898,60.42400000296766,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_054_ppo_shield_dense_corridor_mono_trajectory.png
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,47,2,0.0,0.0,0,0,max_steps,200,237.27922061357884,38.63935817272331,5.0,0.0,0.0,0.0,0.95,0.35012184277603137,0.4897933602333069,0,0,159,0.795,306.54787499952363,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_055_ppo_shield_obstacle_cluster_stereo_trajectory.png
56,0,ppo_shield,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,47,2,0.16666662693023682,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.004166665673255921,0.16666662693023682,0.7833333730697631,0.052144148702791424,0.17009690403938293,0,0,23,0.5897435897435898,58.70399999912479,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_056_ppo_shield_obstacle_cluster_mono_trajectory.png
57,0,ppo_shield,lateral_maneuver,Lateral Maneuver,stereo,0010,2,2,46,37,0.0,0.0,1,0,goal_reached,44,60.982756057296854,56.22277118748239,0.0,0.9219453960830799,0.06591648895086513,0.43711408972740173,0.5128859102725982,0.07395514253699588,0.3294309377670288,0,0,6,0.13636363636363635,66.52241600022535,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_057_ppo_shield_lateral_maneuver_stereo_trajectory.png
58,0,ppo_shield,lateral_maneuver,Lateral Maneuver,mono,0010,2,2,46,37,0.0,0.11824844777584076,1,0,goal_reached,44,61.811183182043045,56.22277118748239,0.0,0.9095889820115244,0.0026277432839075725,0.11824844777584076,0.8317515522241592,0.07070824099019767,0.47416627407073975,0,0,5,0.11363636363636363,68.30595899737091,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_058_ppo_shield_lateral_maneuver_mono_trajectory.png
